feature,horizon,metric,mean,median,std,count
HF1,1,pearson_partial_controlling_SOH,0.538412644917466,0.542220505188275,0.07457318544422759,4
HF1,4,pearson_partial_controlling_SOH,0.5091090069356463,0.5182368703468665,0.06983643352913212,4
HF1,8,pearson_partial_controlling_SOH,0.5299152951684536,0.5558147833240543,0.07726658742875896,4
HF1,12,pearson_partial_controlling_SOH,0.5070472140384876,0.5343502242520217,0.09019246896291498,4
HF1,16,pearson_partial_controlling_SOH,0.5031565286521795,0.5188139327402019,0.08611104421309212,4
HF1,24,pearson_partial_controlling_SOH,0.5104227910442356,0.5325185821000509,0.10330911165914139,4
HF1,32,pearson_partial_controlling_SOH,0.494651399230816,0.5284290571881198,0.10335133542906158,4
HF1,48,pearson_partial_controlling_SOH,0.5058542401629358,0.5259709872160339,0.10814552340855678,4
HF1,64,pearson_partial_controlling_SOH,0.4944807998045725,0.5384673491660785,0.12782067364072233,4
HF2,1,pearson_partial_controlling_SOH,-0.042066926804208066,-0.062188355622469015,0.07957800961038057,4
HF2,4,pearson_partial_controlling_SOH,-0.03535044837056919,-0.06430932089749183,0.0893510985186572,4
HF2,8,pearson_partial_controlling_SOH,-0.0010239396132007313,-0.058691692195640216,0.13567012215218957,4
HF2,12,pearson_partial_controlling_SOH,-0.013654066542793171,-0.07438726765755979,0.14860305407094693,4
HF2,16,pearson_partial_controlling_SOH,-0.032441183418226466,-0.10093701480282238,0.15202311831301996,4
HF2,24,pearson_partial_controlling_SOH,-0.01683719567913233,-0.09301024554831339,0.1757214888660388,4
HF2,32,pearson_partial_controlling_SOH,-0.03807258912045691,-0.10461038667064715,0.1524943425823013,4
HF2,48,pearson_partial_controlling_SOH,-0.003154635164032856,-0.06820578359808703,0.16847944993802788,4
HF2,64,pearson_partial_controlling_SOH,-0.009285147596914817,-0.08151566103264801,0.21706332695342948,4
HF3,1,pearson_partial_controlling_SOH,-0.10059469355801842,-0.10555364234563687,0.0688870371953586,4
HF3,4,pearson_partial_controlling_SOH,-0.07821405881649698,-0.10842149481013241,0.0671247807741423,4
HF3,8,pearson_partial_controlling_SOH,-0.11464208367630636,-0.10749113644976693,0.10371999909501281,4
HF3,12,pearson_partial_controlling_SOH,-0.07627069275196305,-0.09585827480737986,0.05713364065530221,4
HF3,16,pearson_partial_controlling_SOH,-0.08296322204641009,-0.10478191207432537,0.056537884087745564,4
HF3,24,pearson_partial_controlling_SOH,-0.09477209466595314,-0.10596617772351277,0.07365453231019126,4
HF3,32,pearson_partial_controlling_SOH,-0.07469642028198684,-0.09284193793508116,0.05434038611281901,4
HF3,48,pearson_partial_controlling_SOH,-0.08535025371882413,-0.09660117135733129,0.07200063269487807,4
HF3,64,pearson_partial_controlling_SOH,-0.07598608375706974,-0.09176943987926794,0.05542421624370476,4
HF4,1,pearson_partial_controlling_SOH,0.013862504380841089,0.008596321301064441,0.03868497133754295,4
HF4,4,pearson_partial_controlling_SOH,-0.008001839483212312,9.850498275920921e-05,0.03721178212142488,4
HF4,8,pearson_partial_controlling_SOH,0.04567913168001364,0.03682451997917584,0.06681373338058577,4
HF4,12,pearson_partial_controlling_SOH,-0.007186117712218573,-0.017443860493201954,0.046515644609216304,4
HF4,16,pearson_partial_controlling_SOH,0.08642309410061967,0.081697384607354,0.0577058936973182,4
HF4,24,pearson_partial_controlling_SOH,0.08210154142071227,0.06733826327193992,0.04962110946481579,4
HF4,32,pearson_partial_controlling_SOH,0.09903136037290566,0.07447753656153973,0.06922812644615592,4
HF4,48,pearson_partial_controlling_SOH,0.10356648200847735,0.09595587104978454,0.09340166324997233,4
HF4,64,pearson_partial_controlling_SOH,0.13794637954921468,0.14060213741964417,0.08492167612458687,4
HF5,1,pearson_partial_controlling_SOH,0.008050612131201758,0.01618792617120586,0.02370720982087783,4
HF5,4,pearson_partial_controlling_SOH,-0.07693314363127295,-0.08472269079771633,0.09780690194312398,4
HF5,8,pearson_partial_controlling_SOH,-0.027233436307904996,-0.01952530690206633,0.027590678076647286,4
HF5,12,pearson_partial_controlling_SOH,-0.11720324047822485,-0.09300351079067651,0.07309449660239167,4
HF5,16,pearson_partial_controlling_SOH,-0.07937149820469097,-0.0978199986795345,0.053648708357115174,4
HF5,24,pearson_partial_controlling_SOH,-0.09920829943000024,-0.08509694665461491,0.046984412892960556,4
HF5,32,pearson_partial_controlling_SOH,-0.09090901591416314,-0.09495831975291527,0.040201933660831815,4
HF5,48,pearson_partial_controlling_SOH,-0.15979655641484733,-0.16488447875332976,0.052985807292976715,4
HF5,64,pearson_partial_controlling_SOH,-0.19922058086384353,-0.19398191744726404,0.04317536536967981,4
HF6,1,pearson_partial_controlling_SOH,-0.027275776483424087,-0.02778213262083553,0.05024320591255762,4
HF6,4,pearson_partial_controlling_SOH,-0.09727337989138152,-0.09818393611391243,0.041687078968456984,4
HF6,8,pearson_partial_controlling_SOH,-0.10134275451953328,-0.10176470858998235,0.028781972296830854,4
HF6,12,pearson_partial_controlling_SOH,-0.1520861863642209,-0.1467784927212484,0.041427631501597284,4
HF6,16,pearson_partial_controlling_SOH,-0.1410174635470141,-0.14798245451919254,0.04714509434290849,4
HF6,24,pearson_partial_controlling_SOH,-0.16062345813634304,-0.14080335590175472,0.044110369556674106,4
HF6,32,pearson_partial_controlling_SOH,-0.17966348353978528,-0.16816813557415572,0.05414316922953782,4
HF6,48,pearson_partial_controlling_SOH,-0.23582336907424656,-0.2192287685143775,0.04463612324869184,4
HF6,64,pearson_partial_controlling_SOH,-0.2621032081531644,-0.24626428552123297,0.07589907908335192,4
HF7,1,pearson_partial_controlling_SOH,0.5345958624236118,0.5383985563506946,0.07658754234841841,4
HF7,4,pearson_partial_controlling_SOH,0.5051860924148108,0.5141444029295915,0.07174437516610827,4
HF7,8,pearson_partial_controlling_SOH,0.5260194241887621,0.553113822994014,0.0790368071021409,4
HF7,12,pearson_partial_controlling_SOH,0.503325059024189,0.53139983506411,0.09271036542462815,4
HF7,16,pearson_partial_controlling_SOH,0.4999043766491218,0.516694790841229,0.08885097422775025,4
HF7,24,pearson_partial_controlling_SOH,0.5070219111029103,0.5306719130054449,0.1058827047341371,4
HF7,32,pearson_partial_controlling_SOH,0.4911658519747685,0.527158494008128,0.10725098505115727,4
HF7,48,pearson_partial_controlling_SOH,0.5020991600804473,0.5243791911376325,0.11158316633014702,4
HF7,64,pearson_partial_controlling_SOH,0.49112895198685363,0.5377282314981777,0.13192821806246505,4
HF8,1,pearson_partial_controlling_SOH,-0.06202869783696725,-0.08084763222679883,0.08979396987231228,4
HF8,4,pearson_partial_controlling_SOH,-0.055088205769891416,-0.08392873658747493,0.09792095127712568,4
HF8,8,pearson_partial_controlling_SOH,-0.026946321674519238,-0.08282386371074871,0.14052944414152915,4
HF8,12,pearson_partial_controlling_SOH,-0.030098267108597334,-0.09003585013526164,0.1552095691117869,4
HF8,16,pearson_partial_controlling_SOH,-0.05031577375177962,-0.12076234869285718,0.16082097959322872,4
HF8,24,pearson_partial_controlling_SOH,-0.035420688867430355,-0.10975204311054718,0.18376682382477005,4
HF8,32,pearson_partial_controlling_SOH,-0.0541845865324939,-0.12221845897877362,0.1654207945080345,4
HF8,48,pearson_partial_controlling_SOH,-0.02089478932705329,-0.09537403872484643,0.18430824551646946,4
HF8,64,pearson_partial_controlling_SOH,-0.03671845288583795,-0.11488372721768034,0.22498002516702617,4
