battery,feature,horizon,metric,value,rmse_value,mae_without,mae_full,alpha,n_test
CS2_35,SOH,1,MAE_minus_full,0.0004562704868789954,0.0023957030147462796,0.011993901243781236,0.01153763075690224,10.0,881
CS2_35,HF1,1,MAE_minus_full,0.00013767280179986623,-0.0003979759269660335,0.011675303558702107,0.01153763075690224,10.0,881
CS2_35,HF2,1,MAE_minus_full,-0.0002908209759097443,0.000367359462703918,0.011246809780992496,0.01153763075690224,10.0,881
CS2_35,HF3,1,MAE_minus_full,0.0011785141016523396,0.0003717992163787577,0.01271614485855458,0.01153763075690224,100.0,881
CS2_35,HF4,1,MAE_minus_full,3.0486702241443522e-05,-3.230619798906542e-06,0.011568117459143684,0.01153763075690224,10.0,881
CS2_35,HF5,1,MAE_minus_full,4.5424682866680374e-05,-2.751933926396777e-07,0.011583055439768921,0.01153763075690224,10.0,881
CS2_35,HF6,1,MAE_minus_full,2.0337810067215176e-05,5.130929822610292e-06,0.011557968566969456,0.01153763075690224,10.0,881
CS2_35,HF7,1,MAE_minus_full,-2.4712478661781737e-05,-0.0002910835880613992,0.011512918278240459,0.01153763075690224,10.0,881
CS2_35,HF8,1,MAE_minus_full,-0.0004310327503186176,0.0002037180360124763,0.011106598006583623,0.01153763075690224,10.0,881
CS2_36,SOH,1,MAE_minus_full,0.0005823603283605181,0.0010050252225717246,0.014247336207211423,0.013664975878850905,10.0,972
CS2_36,HF1,1,MAE_minus_full,8.6683271017126e-05,-4.713335248392181e-05,0.01375165914986803,0.013664975878850905,10.0,972
CS2_36,HF2,1,MAE_minus_full,0.0014541261374084978,0.00047406358763396605,0.015119102016259402,0.013664975878850905,100.0,972
CS2_36,HF3,1,MAE_minus_full,0.0026304638540263735,0.0033293172650913985,0.016295439732877278,0.013664975878850905,100.0,972
CS2_36,HF4,1,MAE_minus_full,-3.146393260871315e-05,-1.0861137210507743e-05,0.013633511946242191,0.013664975878850905,10.0,972
CS2_36,HF5,1,MAE_minus_full,2.1160908450010632e-05,-2.3035536992135897e-06,0.013686136787300915,0.013664975878850905,10.0,972
CS2_36,HF6,1,MAE_minus_full,-0.00011287716379076475,-3.680626957441868e-05,0.01355209871506014,0.013664975878850905,10.0,972
CS2_36,HF7,1,MAE_minus_full,0.0001347531477287698,1.9141290424629087e-05,0.013799729026579674,0.013664975878850905,10.0,972
CS2_36,HF8,1,MAE_minus_full,0.0012000415882038058,0.0003057398590044433,0.01486501746705471,0.013664975878850905,100.0,972
CS2_37,SOH,1,MAE_minus_full,-0.0007167453140119375,0.00018046938074380015,0.012260786018793407,0.012977531332805345,10.0,1037
CS2_37,HF1,1,MAE_minus_full,-0.0011378102433800483,-0.0006606466302722935,0.011839721089425296,0.012977531332805345,10.0,1037
CS2_37,HF2,1,MAE_minus_full,0.00016744202561743207,0.0002781436668414586,0.013144973358422777,0.012977531332805345,100.0,1037
CS2_37,HF3,1,MAE_minus_full,0.0012020373401531465,0.0026268694912357365,0.014179568672958491,0.012977531332805345,100.0,1037
CS2_37,HF4,1,MAE_minus_full,-2.9779121901225836e-05,-9.390085925778391e-06,0.012947752210904119,0.012977531332805345,100.0,1037
CS2_37,HF5,1,MAE_minus_full,-2.1863780260675952e-05,2.2764220789783796e-06,0.012955667552544669,0.012977531332805345,100.0,1037
CS2_37,HF6,1,MAE_minus_full,-0.00014854412181336887,-7.12720602931427e-07,0.012828987210991976,0.012977531332805345,100.0,1037
CS2_37,HF7,1,MAE_minus_full,-0.0011531778258494687,-0.0005937480861037611,0.011824353506955876,0.012977531332805345,10.0,1037
CS2_37,HF8,1,MAE_minus_full,-1.4442272523052663e-05,1.2561437232501416e-05,0.012963089060282292,0.012977531332805345,100.0,1037
CS2_38,SOH,1,MAE_minus_full,-0.00033089335881642673,-0.00020214183589644524,0.013422321932170907,0.013753215290987334,0.01,1027
CS2_38,HF1,1,MAE_minus_full,-0.001274956110793186,2.4232287383053885e-05,0.012478259180194148,0.013753215290987334,10.0,1027
CS2_38,HF2,1,MAE_minus_full,0.0008163881842858812,0.00019052444666655538,0.014569603475273215,0.013753215290987334,100.0,1027
CS2_38,HF3,1,MAE_minus_full,0.0006860697092628786,0.0009955562985988833,0.014439285000250213,0.013753215290987334,100.0,1027
CS2_38,HF4,1,MAE_minus_full,-1.1747670741659583e-06,-7.082110905706762e-07,0.013752040523913168,0.013753215290987334,100.0,1027
CS2_38,HF5,1,MAE_minus_full,3.277318028555541e-05,1.6486641939358893e-06,0.01378598847127289,0.013753215290987334,100.0,1027
CS2_38,HF6,1,MAE_minus_full,0.0002146276582103302,2.1487381904508607e-05,0.013967842949197664,0.013753215290987334,100.0,1027
CS2_38,HF7,1,MAE_minus_full,-0.0013528972276376765,-1.5703203628890383e-05,0.012400318063349658,0.013753215290987334,10.0,1027
CS2_38,HF8,1,MAE_minus_full,0.00025387281594841694,6.40740329760428e-05,0.014007088106935751,0.013753215290987334,100.0,1027
CS2_35,SOH,4,MAE_minus_full,0.0003757168212437795,0.002381444201677317,0.014422206928943674,0.014046490107699894,10.0,878
CS2_35,HF1,4,MAE_minus_full,9.904434333667979e-05,-0.00039646578118446296,0.014145534451036574,0.014046490107699894,10.0,878
CS2_35,HF2,4,MAE_minus_full,-0.0002606727996667946,0.000171910452387819,0.0137858173080331,0.014046490107699894,10.0,878
CS2_35,HF3,4,MAE_minus_full,0.0010788992668508898,0.0005121582959968715,0.015125389374550784,0.014046490107699894,100.0,878
CS2_35,HF4,4,MAE_minus_full,2.9942032043797986e-05,0.00012822716036078874,0.014076432139743692,0.014046490107699894,10.0,878
CS2_35,HF5,4,MAE_minus_full,-9.912488379233697e-06,2.303294492178587e-05,0.01403657761932066,0.014046490107699894,10.0,878
CS2_35,HF6,4,MAE_minus_full,0.00023483305267470514,3.571100646733438e-05,0.0142813231603746,0.014046490107699894,10.0,878
CS2_35,HF7,4,MAE_minus_full,1.8827119031727957e-05,-0.0002509791190252811,0.014065317226731622,0.014046490107699894,10.0,878
