battery,feature,horizon,metric,value,n
CS2_36,HF4,4,pearson_partial_controlling_SOH,0.026507804840303642,969
CS2_36,HF5,4,pearson_partial_controlling_SOH,0.04969156234402338,969
CS2_36,HF6,4,pearson_partial_controlling_SOH,-0.05391132978655217,969
CS2_36,HF7,4,pearson_partial_controlling_SOH,0.518260365119264,969
CS2_36,HF8,4,pearson_partial_controlling_SOH,-0.08212317473601795,969
CS2_36,HF1,8,pearson_partial_controlling_SOH,0.5903272086699828,965
CS2_36,HF2,8,pearson_partial_controlling_SOH,-0.08652366020060383,965
CS2_36,HF3,8,pearson_partial_controlling_SOH,-0.2457355456004801,965
CS2_36,HF4,8,pearson_partial_controlling_SOH,-0.025995376759538703,965
CS2_36,HF5,8,pearson_partial_controlling_SOH,-0.023921083109502653,965
CS2_36,HF6,8,pearson_partial_controlling_SOH,-0.07101581127711579,965
CS2_36,HF7,8,pearson_partial_controlling_SOH,0.5866315757287784,965
CS2_36,HF8,8,pearson_partial_controlling_SOH,-0.10652023115451817,965
CS2_36,HF1,12,pearson_partial_controlling_SOH,0.5307674547862875,961
CS2_36,HF2,12,pearson_partial_controlling_SOH,-0.0834009969702609,961
CS2_36,HF3,12,pearson_partial_controlling_SOH,-0.11936557738404835,961
CS2_36,HF4,12,pearson_partial_controlling_SOH,-0.02944649264472274,961
CS2_36,HF5,12,pearson_partial_controlling_SOH,-0.05975613705231536,961
CS2_36,HF6,12,pearson_partial_controlling_SOH,-0.11452097721304322,961
CS2_36,HF7,12,pearson_partial_controlling_SOH,0.529053216432387,961
CS2_36,HF8,12,pearson_partial_controlling_SOH,-0.09854703863137255,961
CS2_36,HF1,16,pearson_partial_controlling_SOH,0.5326282557354702,957
CS2_36,HF2,16,pearson_partial_controlling_SOH,-0.10200945178164701,957
CS2_36,HF3,16,pearson_partial_controlling_SOH,-0.12292002937933581,957
CS2_36,HF4,16,pearson_partial_controlling_SOH,0.02760257082285109,957
CS2_36,HF5,16,pearson_partial_controlling_SOH,-0.0038383074509696323,957
CS2_36,HF6,16,pearson_partial_controlling_SOH,-0.07910057691632866,957
CS2_36,HF7,16,pearson_partial_controlling_SOH,0.5316544927419619,957
CS2_36,HF8,16,pearson_partial_controlling_SOH,-0.11948332708724893,957
CS2_36,HF1,24,pearson_partial_controlling_SOH,0.5219633767748825,949
CS2_36,HF2,24,pearson_partial_controlling_SOH,-0.10539610724937672,949
CS2_36,HF3,24,pearson_partial_controlling_SOH,-0.12127579878980145,949
CS2_36,HF4,24,pearson_partial_controlling_SOH,0.041756681216986384,949
CS2_36,HF5,24,pearson_partial_controlling_SOH,-0.07586229524153214,949
CS2_36,HF6,24,pearson_partial_controlling_SOH,-0.1403355380437018,949
CS2_36,HF7,24,pearson_partial_controlling_SOH,0.5212386265072131,949
CS2_36,HF8,24,pearson_partial_controlling_SOH,-0.12290987710536214,949
CS2_36,HF1,32,pearson_partial_controlling_SOH,0.5242900257720982,941
CS2_36,HF2,32,pearson_partial_controlling_SOH,-0.11944466937808124,941
