feature,horizon,metric,mean,median,std,count
HF1,1,pearson,-0.012708828091887742,-0.011740176402465094,0.005791602491227832,4
HF1,1,spearman,-0.10163090654427774,-0.0989980653981469,0.010443353411639796,4
HF1,4,pearson,-0.043505319033734155,-0.037243185917394554,0.021525146413215387,4
HF1,4,spearman,-0.09720513082747263,-0.09710149394722148,0.010164797806983173,4
HF1,8,pearson,-0.09724456990463422,-0.08398811421100555,0.04093055639985769,4
HF1,8,spearman,-0.20642612759184814,-0.21854274476835706,0.026794364223936384,4
HF1,12,pearson,-0.14192315111520631,-0.123257567080577,0.058747160990475736,4
HF1,12,spearman,-0.25059912414812313,-0.2617689213484208,0.03376781375952459,4
HF1,16,pearson,-0.18892463059574566,-0.16914792433592163,0.07123158174721657,4
HF1,16,spearman,-0.3034274838500827,-0.3181015524775293,0.045451268644323486,4
HF1,24,pearson,-0.2758487512517553,-0.25399355295432,0.09169182093953018,4
HF1,24,spearman,-0.38510582789260134,-0.386484503459284,0.04805725403309797,4
HF1,32,pearson,-0.3518355509685432,-0.3173771247751639,0.11965379485123864,4
HF1,32,spearman,-0.4312875895218923,-0.42575077981062387,0.051273593470856166,4
HF1,48,pearson,-0.4854783256274719,-0.462531829064992,0.11878598100594008,4
HF1,48,spearman,-0.5460645365211483,-0.5421513634402453,0.08783255823534615,4
HF1,64,pearson,-0.5609104521523756,-0.5425906945846599,0.10815142358014618,4
HF1,64,spearman,-0.576205380334262,-0.5617959217708284,0.08962876736389537,4
HF2,1,pearson,0.0032072201485815093,-0.0010618391459840653,0.01357497429802592,4
HF2,1,spearman,0.0687828620800695,0.06203821174324015,0.023521223372428925,4
HF2,4,pearson,0.02788200259895401,0.020112394536201717,0.0341904349682801,4
HF2,4,spearman,0.05267446524626329,0.05590623110838851,0.017310249344424263,4
HF2,8,pearson,0.051417343176885816,0.031494814117697764,0.045302235887626864,4
HF2,8,spearman,0.17954440725835252,0.17251617286014392,0.0383933307749491,4
HF2,12,pearson,0.09734718189284483,0.07525588843196221,0.06307308717223202,4
HF2,12,spearman,0.19683643315286525,0.1977968966649794,0.029693327323369025,4
HF2,16,pearson,0.153090410662536,0.13384503950361137,0.0792069834332408,4
HF2,16,spearman,0.25656071253150636,0.2619403690160479,0.03417480776960319,4
HF2,24,pearson,0.20472039504277403,0.17338886280204813,0.09571316493896434,4
HF2,24,spearman,0.3292403381135077,0.32379021100014926,0.03173388456327143,4
HF2,32,pearson,0.2764677446165332,0.2342501266624467,0.12330847014568717,4
HF2,32,spearman,0.3812783764340236,0.375716313639179,0.029683480266511235,4
HF2,48,pearson,0.3768332477924334,0.34116571240334614,0.135484519356944,4
HF2,48,spearman,0.5009846307337356,0.501091844662504,0.07677351670057343,4
HF2,64,pearson,0.4562484788708967,0.4366308612353009,0.11901412032614124,4
HF2,64,spearman,0.5194227170372698,0.5065025562909096,0.08736176888162986,4
HF3,1,pearson,0.10911049332412925,0.12765166137887335,0.09195351210284047,4
HF3,1,spearman,-0.1504084517911812,-0.15216799553639854,0.026618676928618856,4
HF3,4,pearson,0.0757461641239057,0.12127300718711495,0.10314605062481778,4
HF3,4,spearman,-0.04977999282938197,-0.0476606105204015,0.01724028361364705,4
HF3,8,pearson,0.09037748266941674,0.11018482280928374,0.14714833715180006,4
