battery,feature,horizon,ranking_metric,value,rank
CS2_36,HF6,4,abs_future_soh_spearman,0.8531259657272778,6.0
CS2_36,HF7,4,abs_future_soh_spearman,0.9681722454024286,2.0
CS2_36,HF8,4,abs_future_soh_spearman,-0.813172611931826,7.0
CS2_36,HF1,8,abs_future_soh_spearman,0.9727402776820573,1.0
CS2_36,HF2,8,abs_future_soh_spearman,-0.7447903328771136,8.0
CS2_36,HF3,8,abs_future_soh_spearman,0.9020153241196621,5.0
CS2_36,HF4,8,abs_future_soh_spearman,0.9509900696181742,3.0
CS2_36,HF5,8,abs_future_soh_spearman,0.9073298553433518,4.0
CS2_36,HF6,8,abs_future_soh_spearman,0.8479311967634074,6.0
CS2_36,HF7,8,abs_future_soh_spearman,0.9725589248705322,2.0
CS2_36,HF8,8,abs_future_soh_spearman,-0.825701855292965,7.0
CS2_36,HF1,12,abs_future_soh_spearman,0.9684760400130639,1.0
CS2_36,HF2,12,abs_future_soh_spearman,-0.7619765692428543,8.0
CS2_36,HF3,12,abs_future_soh_spearman,0.8956687596097972,5.0
CS2_36,HF4,12,abs_future_soh_spearman,0.9462650440020156,3.0
CS2_36,HF5,12,abs_future_soh_spearman,0.9030506411648707,4.0
CS2_36,HF6,12,abs_future_soh_spearman,0.8389070726989692,6.0
CS2_36,HF7,12,abs_future_soh_spearman,0.9683647182328016,2.0
CS2_36,HF8,12,abs_future_soh_spearman,-0.8323387319394225,7.0
CS2_36,HF1,16,abs_future_soh_spearman,0.9676180197666109,1.0
CS2_36,HF2,16,abs_future_soh_spearman,-0.7766826045205113,8.0
CS2_36,HF3,16,abs_future_soh_spearman,0.8962624968933072,5.0
CS2_36,HF4,16,abs_future_soh_spearman,0.9467592246536923,3.0
CS2_36,HF5,16,abs_future_soh_spearman,0.9042586191946946,4.0
CS2_36,HF6,16,abs_future_soh_spearman,0.8412503945756143,7.0
CS2_36,HF7,16,abs_future_soh_spearman,0.9673560672169058,2.0
CS2_36,HF8,16,abs_future_soh_spearman,-0.8423043087408787,6.0
CS2_36,HF1,24,abs_future_soh_spearman,0.9653480091851636,1.0
CS2_36,HF2,24,abs_future_soh_spearman,-0.8051459326302917,8.0
CS2_36,HF3,24,abs_future_soh_spearman,0.8953226009109954,5.0
CS2_36,HF4,24,abs_future_soh_spearman,0.9490617431855037,3.0
CS2_36,HF5,24,abs_future_soh_spearman,0.9008194200370352,4.0
CS2_36,HF6,24,abs_future_soh_spearman,0.8414378534674751,7.0
CS2_36,HF7,24,abs_future_soh_spearman,0.9651592404185888,2.0
CS2_36,HF8,24,abs_future_soh_spearman,-0.8589304247804406,6.0
CS2_36,HF1,32,abs_future_soh_spearman,0.9644676451744634,1.0
CS2_36,HF2,32,abs_future_soh_spearman,-0.8399582959111453,7.0
CS2_36,HF3,32,abs_future_soh_spearman,0.8905857797191299,5.0
CS2_36,HF4,32,abs_future_soh_spearman,0.9469517840754855,3.0
CS2_36,HF5,32,abs_future_soh_spearman,0.8981753178352604,4.0
CS2_36,HF6,32,abs_future_soh_spearman,0.8390443210170015,8.0
CS2_36,HF7,32,abs_future_soh_spearman,0.9641569532469926,2.0
CS2_36,HF8,32,abs_future_soh_spearman,-0.8787137349132357,6.0
CS2_36,HF1,48,abs_future_soh_spearman,0.9657345775655636,1.0
CS2_36,HF2,48,abs_future_soh_spearman,-0.8896398456422339,6.0
CS2_36,HF3,48,abs_future_soh_spearman,0.8878890949613255,7.0
CS2_36,HF4,48,abs_future_soh_spearman,0.9478865316446827,3.0
CS2_36,HF5,48,abs_future_soh_spearman,0.9041116325438374,5.0
CS2_36,HF6,48,abs_future_soh_spearman,0.8403471749044156,8.0
CS2_36,HF7,48,abs_future_soh_spearman,0.9654923743266557,2.0
CS2_36,HF8,48,abs_future_soh_spearman,-0.9058370767659758,4.0
CS2_36,HF1,64,abs_future_soh_spearman,0.9632524603479587,1.0
CS2_36,HF2,64,abs_future_soh_spearman,-0.8989600718761239,5.0
CS2_36,HF3,64,abs_future_soh_spearman,0.8836599089459223,7.0
CS2_36,HF4,64,abs_future_soh_spearman,0.947488872154823,3.0
CS2_36,HF5,64,abs_future_soh_spearman,0.8981424688802617,6.0
CS2_36,HF6,64,abs_future_soh_spearman,0.8324522061220908,8.0
CS2_36,HF7,64,abs_future_soh_spearman,0.9629373748655876,2.0
CS2_36,HF8,64,abs_future_soh_spearman,-0.9119494219737326,4.0
CS2_37,HF1,1,abs_future_soh_spearman,0.9774217935125694,1.0
CS2_37,HF2,1,abs_future_soh_spearman,-0.7373082872228022,8.0
CS2_37,HF3,1,abs_future_soh_spearman,0.9210779250779251,4.0
CS2_37,HF4,1,abs_future_soh_spearman,0.9439932586329776,3.0
CS2_37,HF5,1,abs_future_soh_spearman,0.9053013709914829,5.0
CS2_37,HF6,1,abs_future_soh_spearman,0.8595611957749761,6.0
CS2_37,HF7,1,abs_future_soh_spearman,0.9771318049664129,2.0
CS2_37,HF8,1,abs_future_soh_spearman,-0.8153540079697903,7.0
CS2_37,HF1,4,abs_future_soh_spearman,0.9736023515575459,1.0
CS2_37,HF2,4,abs_future_soh_spearman,-0.7459508749962023,8.0
CS2_37,HF3,4,abs_future_soh_spearman,0.9154606935866545,4.0
CS2_37,HF4,4,abs_future_soh_spearman,0.9378366162683892,3.0
CS2_37,HF5,4,abs_future_soh_spearman,0.8946108136381531,5.0
CS2_37,HF6,4,abs_future_soh_spearman,0.8488089093358192,6.0
CS2_37,HF7,4,abs_future_soh_spearman,0.973271883419324,2.0
CS2_37,HF8,4,abs_future_soh_spearman,-0.8195704264185872,7.0
CS2_37,HF1,8,abs_future_soh_spearman,0.9731428967443982,1.0
CS2_37,HF2,8,abs_future_soh_spearman,-0.7554782394782396,8.0
CS2_37,HF3,8,abs_future_soh_spearman,0.913369384026604,4.0
CS2_37,HF4,8,abs_future_soh_spearman,0.9294217619782538,3.0
CS2_37,HF5,8,abs_future_soh_spearman,0.8820851681467732,5.0
CS2_37,HF6,8,abs_future_soh_spearman,0.8356292864009678,6.0
CS2_37,HF7,8,abs_future_soh_spearman,0.9728101255438006,2.0
CS2_37,HF8,8,abs_future_soh_spearman,-0.822964413603283,7.0
CS2_37,HF1,12,abs_future_soh_spearman,0.9701775958735965,1.0
CS2_37,HF2,12,abs_future_soh_spearman,-0.7687241417902675,8.0
CS2_37,HF3,12,abs_future_soh_spearman,0.9042571463624094,4.0
CS2_37,HF4,12,abs_future_soh_spearman,0.9277529276197573,3.0
CS2_37,HF5,12,abs_future_soh_spearman,0.8719002855258176,5.0
CS2_37,HF6,12,abs_future_soh_spearman,0.8249518940136534,7.0
CS2_37,HF7,12,abs_future_soh_spearman,0.9697051409982951,2.0
CS2_37,HF8,12,abs_future_soh_spearman,-0.8295565035658026,6.0
CS2_37,HF1,16,abs_future_soh_spearman,0.9691167809873782,1.0
CS2_37,HF2,16,abs_future_soh_spearman,-0.7898427726548981,8.0
CS2_37,HF3,16,abs_future_soh_spearman,0.9106917797537446,4.0
CS2_37,HF4,16,abs_future_soh_spearman,0.9315993282254657,3.0
CS2_37,HF5,16,abs_future_soh_spearman,0.8757813525157829,5.0
CS2_37,HF6,16,abs_future_soh_spearman,0.8287670513050587,7.0
CS2_37,HF7,16,abs_future_soh_spearman,0.9686456899756998,2.0
CS2_37,HF8,16,abs_future_soh_spearman,-0.8442707585329939,6.0
CS2_37,HF1,24,abs_future_soh_spearman,0.9684669860086089,1.0
CS2_37,HF2,24,abs_future_soh_spearman,-0.8144751980902029,7.0
CS2_37,HF3,24,abs_future_soh_spearman,0.8995032432047935,4.0
CS2_37,HF4,24,abs_future_soh_spearman,0.9168181868119797,3.0
CS2_37,HF5,24,abs_future_soh_spearman,0.8593213270784353,5.0
CS2_37,HF6,24,abs_future_soh_spearman,0.8131565862981135,8.0
CS2_37,HF7,24,abs_future_soh_spearman,0.967920683341591,2.0
CS2_37,HF8,24,abs_future_soh_spearman,-0.8557863349495195,6.0
CS2_37,HF1,32,abs_future_soh_spearman,0.9668423468520182,1.0
CS2_37,HF2,32,abs_future_soh_spearman,-0.843271357231456,7.0
CS2_37,HF3,32,abs_future_soh_spearman,0.8985836381520588,4.0
CS2_37,HF4,32,abs_future_soh_spearman,0.9144856921037408,3.0
CS2_37,HF5,32,abs_future_soh_spearman,0.8532649615843789,6.0
CS2_37,HF6,32,abs_future_soh_spearman,0.8078064955701774,8.0
CS2_37,HF7,32,abs_future_soh_spearman,0.9663084218614204,2.0
CS2_37,HF8,32,abs_future_soh_spearman,-0.8729331976721545,5.0
CS2_37,HF1,48,abs_future_soh_spearman,0.9684690632363496,1.0
CS2_37,HF2,48,abs_future_soh_spearman,-0.8952800513021387,6.0
CS2_37,HF3,48,abs_future_soh_spearman,0.9024211676394805,5.0
CS2_37,HF4,48,abs_future_soh_spearman,0.9268053712802719,3.0
CS2_37,HF5,48,abs_future_soh_spearman,0.8711281839124034,7.0
CS2_37,HF6,48,abs_future_soh_spearman,0.8257353649923509,8.0
CS2_37,HF7,48,abs_future_soh_spearman,0.9680135432561923,2.0
CS2_37,HF8,48,abs_future_soh_spearman,-0.9046668448389071,4.0
CS2_37,HF1,64,abs_future_soh_spearman,0.9628930599974019,1.0
