battery,feature,horizon,metric,value
CS2_35,all_HFs,-1,spearman_horizon_distance_vs_kendall_tau,-0.2062294401079924
CS2_36,all_HFs,-1,spearman_horizon_distance_vs_kendall_tau,-0.7745544295775056
CS2_37,all_HFs,-1,spearman_horizon_distance_vs_kendall_tau,-0.5291454652230736
CS2_38,all_HFs,-1,spearman_horizon_distance_vs_kendall_tau,-0.40023653861585334
