battery,feature,horizon,metric,value,n
CS2_36,HF3,8,pearson,0.3646907859935046,965
CS2_36,HF4,8,pearson,0.8447703092806202,965
CS2_36,HF5,8,pearson,0.8281905172094561,965
CS2_36,HF6,8,pearson,0.7078736700836923,965
CS2_36,HF7,8,pearson,0.970548724082957,965
CS2_36,HF8,8,pearson,-0.6650206448065986,965
CS2_36,SOH,12,pearson,0.9617754215204858,961
CS2_36,HF1,12,pearson,0.9652467243430942,961
CS2_36,HF2,12,pearson,-0.6130841668876652,961
CS2_36,HF3,12,pearson,0.2257032385385142,961
CS2_36,HF4,12,pearson,0.8277705016795802,961
CS2_36,HF5,12,pearson,0.8072365397150437,961
CS2_36,HF6,12,pearson,0.6788339748073715,961
CS2_36,HF7,12,pearson,0.9652253832952487,961
CS2_36,HF8,12,pearson,-0.6797579183890304,961
CS2_36,SOH,16,pearson,0.9602269004470688,957
CS2_36,HF1,16,pearson,0.963234856590458,957
CS2_36,HF2,16,pearson,-0.6355000689219406,957
CS2_36,HF3,16,pearson,0.2193279884445311,957
CS2_36,HF4,16,pearson,0.8331935210611874,957
CS2_36,HF5,16,pearson,0.8175709395002209,957
CS2_36,HF6,16,pearson,0.6936450304418736,957
CS2_36,HF7,16,pearson,0.9633012597856111,957
CS2_36,HF8,16,pearson,-0.6966455473644848,957
CS2_36,SOH,24,pearson,0.9583073966275035,949
CS2_36,HF1,24,pearson,0.9609155716160165,949
CS2_36,HF2,24,pearson,-0.6727752229203978,949
CS2_36,HF3,24,pearson,0.21557007211503906,949
CS2_36,HF4,24,pearson,0.8364429585633435,949
CS2_36,HF5,24,pearson,0.8128820516445631,949
CS2_36,HF6,24,pearson,0.6776007790856383,949
CS2_36,HF7,24,pearson,0.9610222212673118,949
CS2_36,HF8,24,pearson,-0.7233828263013461,949
CS2_36,SOH,32,pearson,0.9548690747338482,941
CS2_36,HF1,32,pearson,0.9584522494274749,941
CS2_36,HF2,32,pearson,-0.7202722154672583,941
CS2_36,HF3,32,pearson,0.2126158784251195,941
CS2_36,HF4,32,pearson,0.8429152299779422,941
CS2_36,HF5,32,pearson,0.8193417824130594,941
CS2_36,HF6,32,pearson,0.6818694619890819,941
CS2_36,HF7,32,pearson,0.9586344679415592,941
CS2_36,HF8,32,pearson,-0.7575990719796449,941
CS2_36,SOH,48,pearson,0.9500688155691834,925
CS2_36,HF1,48,pearson,0.9544029806737399,925
CS2_36,HF2,48,pearson,-0.7926596442762865,925
CS2_36,HF3,48,pearson,0.19902551754001718,925
CS2_36,HF4,48,pearson,0.8529276171128981,925
CS2_36,HF5,48,pearson,0.8264308039996601,925
CS2_36,HF6,48,pearson,0.6767236127724056,925
CS2_36,HF7,48,pearson,0.9547218527464593,925
CS2_36,HF8,48,pearson,-0.8087722935232076,925
CS2_36,SOH,64,pearson,0.9455886973272315,909
CS2_36,HF1,64,pearson,0.9510522568277556,909
CS2_36,HF2,64,pearson,-0.8501785283659459,909
CS2_36,HF3,64,pearson,0.18900702576270856,909
CS2_36,HF4,64,pearson,0.8559194740351284,909
CS2_36,HF5,64,pearson,0.8237977995005447,909
CS2_36,HF6,64,pearson,0.6819146663283889,909
CS2_36,HF7,64,pearson,0.9515647123069269,909
CS2_36,HF8,64,pearson,-0.8618559303376382,909
CS2_37,SOH,1,pearson,0.9764889416411634,1037
CS2_37,HF1,1,pearson,0.9800791233926596,1037
CS2_37,HF2,1,pearson,-0.5223507728555579,1037
CS2_37,HF3,1,pearson,0.21434967462163965,1037
CS2_37,HF4,1,pearson,0.837968867311939,1037
CS2_37,HF5,1,pearson,0.815381677864446,1037
CS2_37,HF6,1,pearson,0.7336976347452235,1037
CS2_37,HF7,1,pearson,0.979785492593203,1037
CS2_37,HF8,1,pearson,-0.6071261562894434,1037
CS2_37,SOH,4,pearson,0.9772757992547896,1034
CS2_37,HF1,4,pearson,0.9792564818642647,1034
CS2_37,HF2,4,pearson,-0.5428712673717319,1034
CS2_37,HF3,4,pearson,0.2156302715422596,1034
CS2_37,HF4,4,pearson,0.9446935363444711,1034
CS2_37,HF5,4,pearson,0.9100070200289848,1034
CS2_37,HF6,4,pearson,0.8249056041053492,1034
