horizon,improvement_currentHF_mean,improvement_currentHF_median,improvement_currentHF_std,improvement_currentHF_positive_battery_count,improvement_HFhistory_mean,improvement_HFhistory_median,improvement_HFhistory_std,improvement_HFhistory_positive_battery_count,history_vs_currentHF_mean,history_vs_currentHF_median,history_vs_currentHF_std,history_vs_currentHF_positive_battery_count
1,0.07364103230269586,0.06745471309354066,0.015164595335067185,4,-0.07122402761108157,-0.06805890422404781,0.03944664376942443,0,-0.1564166270855321,-0.16138683803330273,0.03923872419299605,0
4,0.03824149247397023,0.03675876091443127,0.010360089344527578,4,-0.05318817080390722,-0.06509214667046699,0.04793357714209653,1,-0.09517483707867029,-0.09788697273424965,0.05194680927523165,0
8,0.05273761289110124,0.051233731754522366,0.009181662292515186,4,-0.046490268554028366,-0.05858163626500214,0.059738674698702754,1,-0.10523973819195999,-0.11574677358103488,0.07269223900434098,0
12,0.042707714310325315,0.04667877223802224,0.010012813570120654,4,-0.06155970332705313,-0.06975683360034768,0.07293210008457403,1,-0.10892223194716213,-0.11310462976574168,0.07570086636854444,0
16,0.03152065646337703,0.03526608725241731,0.013839179392860598,4,-0.059725760156479166,-0.06368658062977912,0.061473937226126006,1,-0.09427491485437134,-0.08918832970282031,0.06336659441422711,0
24,0.03057138974117546,0.033047277401775,0.01463020489873997,4,-0.05167590797765707,-0.04435607180997195,0.05952734607986813,1,-0.08531252304643716,-0.06788036643466086,0.07041407540000102,0
32,0.026454188045930638,0.03039466523703374,0.022817912054373373,3,-0.02050959708144582,-0.02218986062416664,0.049313403260109974,1,-0.04901831208657621,-0.03733227367135576,0.06501350263504191,1
48,0.01354314127256615,0.01496763022778038,0.02196502108775566,3,-0.03122098678382869,-0.0061379021008676204,0.09005263008435142,2,-0.04716055254861293,-0.021801416934016778,0.11367659753950005,2
64,0.02348396322101817,0.029343477377675675,0.015290627345838293,4,-0.0005886219191126793,0.018647487233931982,0.10565983809927153,2,-0.02553575261185366,0.0002332615805389522,0.11821912193444312,2
