battery,state_definition,state,horizon,feature_group,mae_full,mae_without,lofo_value,n_state_samples,reliable,rank
CS2_35,degradation_dynamics,Slow,1,Group_CC,0.013986741095490012,0.014986981067105639,0.0010002399716156265,266,True,1.0
CS2_35,degradation_dynamics,Slow,1,Group_CV,0.013986741095490012,0.013879633688572403,-0.00010710740691760937,266,True,4.0
CS2_35,degradation_dynamics,Slow,1,Group_EnergyEfficiency,0.013986741095490012,0.014459292224710128,0.0004725511292201154,266,True,2.0
CS2_35,degradation_dynamics,Slow,1,Group_DischargeIC,0.013986741095490012,0.014201917990885118,0.00021517689539510623,266,True,3.0
CS2_35,degradation_dynamics,Medium,1,Group_CC,0.00819222744230376,0.008748949201183097,0.0005567217588793374,216,True,1.0
CS2_35,degradation_dynamics,Medium,1,Group_CV,0.00819222744230376,0.007903496404462708,-0.0002887310378410519,216,True,4.0
CS2_35,degradation_dynamics,Medium,1,Group_EnergyEfficiency,0.00819222744230376,0.008457612319076156,0.00026538487677239646,216,True,3.0
CS2_35,degradation_dynamics,Medium,1,Group_DischargeIC,0.00819222744230376,0.008631014490816628,0.0004387870485128686,216,True,2.0
CS2_35,degradation_dynamics,Fast,1,Group_CC,0.00911070823054992,0.010017877225126565,0.0009071689945766449,229,True,1.0
CS2_35,degradation_dynamics,Fast,1,Group_CV,0.00911070823054992,0.008985945425790325,-0.00012476280475959452,229,True,3.0
CS2_35,degradation_dynamics,Fast,1,Group_EnergyEfficiency,0.00911070823054992,0.009579679656656273,0.00046897142610635364,229,True,2.0
CS2_35,degradation_dynamics,Fast,1,Group_DischargeIC,0.00911070823054992,0.00895365493115646,-0.00015705329939346042,229,True,4.0
CS2_36,degradation_dynamics,Slow,1,Group_CC,0.017181294627122083,0.018075640755342882,0.0008943461282207993,247,True,1.0
CS2_36,degradation_dynamics,Slow,1,Group_CV,0.017181294627122083,0.01704698793159653,-0.00013430669552555452,247,True,4.0
CS2_36,degradation_dynamics,Slow,1,Group_EnergyEfficiency,0.017181294627122083,0.01741235013206397,0.00023105550494188776,247,True,3.0
CS2_36,degradation_dynamics,Slow,1,Group_DischargeIC,0.017181294627122083,0.017797741054549253,0.0006164464274271697,247,True,2.0
CS2_36,degradation_dynamics,Medium,1,Group_CC,0.009406864888788304,0.010127493601603988,0.0007206287128156841,234,True,1.0
CS2_36,degradation_dynamics,Medium,1,Group_CV,0.009406864888788304,0.009199459499479227,-0.00020740538930907708,234,True,4.0
CS2_36,degradation_dynamics,Medium,1,Group_EnergyEfficiency,0.009406864888788304,0.009597362186570962,0.00019049729778265745,234,True,2.0
CS2_36,degradation_dynamics,Medium,1,Group_DischargeIC,0.009406864888788304,0.009549680626416285,0.00014281573762798053,234,True,3.0
CS2_36,degradation_dynamics,Fast,1,Group_CC,0.01839108877873378,0.019747428432611017,0.0013563396538772386,353,True,1.0
CS2_36,degradation_dynamics,Fast,1,Group_CV,0.01839108877873378,0.01853767422353895,0.00014658544480516955,353,True,3.0
CS2_36,degradation_dynamics,Fast,1,Group_EnergyEfficiency,0.01839108877873378,0.018970354216658165,0.0005792654379243867,353,True,2.0
CS2_36,degradation_dynamics,Fast,1,Group_DischargeIC,0.01839108877873378,0.01816002169951197,-0.00023106707922180766,353,True,4.0
CS2_37,degradation_dynamics,Slow,1,Group_CC,0.013660653276405152,0.014364022970753749,0.0007033696943485965,233,True,1.0
CS2_37,degradation_dynamics,Slow,1,Group_CV,0.013660653276405152,0.013866025703037714,0.00020537242663256142,233,True,4.0
CS2_37,degradation_dynamics,Slow,1,Group_EnergyEfficiency,0.013660653276405152,0.013964304745756228,0.00030365146935107563,233,True,3.0
CS2_37,degradation_dynamics,Slow,1,Group_DischargeIC,0.013660653276405152,0.014316243736012532,0.0006555904596073792,233,True,2.0
CS2_37,degradation_dynamics,Medium,1,Group_CC,0.007851206831967918,0.008177041564445878,0.00032583473247796077,289,True,1.0
CS2_37,degradation_dynamics,Medium,1,Group_CV,0.007851206831967918,0.007867818798614463,1.6611966646545503e-05,289,True,4.0
CS2_37,degradation_dynamics,Medium,1,Group_EnergyEfficiency,0.007851206831967918,0.00794135636998102,9.014953801310226e-05,289,True,3.0
