battery,state_definition,state,horizon,feature_group,mae_full,mae_without,lofo_value,n_state_samples,reliable
CS2_35,soh_level,Early,1,Group_CC,0.01016551414168277,0.010551711966288315,0.0003861978246055449,541,True
CS2_35,soh_level,Early,1,Group_CV,0.01016551414168277,0.010007209738716211,-0.00015830440296655916,541,True
CS2_35,soh_level,Early,1,Group_EnergyEfficiency,0.01016551414168277,0.010388304336298577,0.0002227901946158066,541,True
CS2_35,soh_level,Early,1,Group_DischargeIC,0.01016551414168277,0.010365508960675165,0.00019999481899239495,541,True
CS2_35,soh_level,Middle,1,Group_CC,0.014400818085857697,0.016019605034899808,0.001618786949042111,230,True
CS2_35,soh_level,Middle,1,Group_CV,0.014400818085857697,0.014285081580842157,-0.00011573650501553977,230,True
CS2_35,soh_level,Middle,1,Group_EnergyEfficiency,0.014400818085857697,0.015214922748129682,0.000814104662271985,230,True
CS2_35,soh_level,Middle,1,Group_DischargeIC,0.014400818085857697,0.014250278326125361,-0.00015053975973233595,230,True
CS2_35,soh_level,Late,1,Group_CC,0.0222577398977914,0.02399156952860936,0.0017338296308179596,75,True
CS2_35,soh_level,Late,1,Group_CV,0.0222577398977914,0.021914911216091994,-0.00034282868169940514,75,True
CS2_35,soh_level,Late,1,Group_EnergyEfficiency,0.0222577398977914,0.02299798480804197,0.0007402449102505704,75,True
CS2_35,soh_level,Late,1,Group_DischargeIC,0.0222577398977914,0.021757580095219435,-0.0005001598025719638,75,True
CS2_35,degradation_dynamics,Slow,1,Group_CC,0.013986741095490012,0.014986981067105639,0.0010002399716156265,266,True
CS2_35,degradation_dynamics,Slow,1,Group_CV,0.013986741095490012,0.013879633688572403,-0.00010710740691760937,266,True
CS2_35,degradation_dynamics,Slow,1,Group_EnergyEfficiency,0.013986741095490012,0.014459292224710128,0.0004725511292201154,266,True
CS2_35,degradation_dynamics,Slow,1,Group_DischargeIC,0.013986741095490012,0.014201917990885118,0.00021517689539510623,266,True
CS2_35,degradation_dynamics,Medium,1,Group_CC,0.00819222744230376,0.008748949201183097,0.0005567217588793374,216,True
CS2_35,degradation_dynamics,Medium,1,Group_CV,0.00819222744230376,0.007903496404462708,-0.0002887310378410519,216,True
CS2_35,degradation_dynamics,Medium,1,Group_EnergyEfficiency,0.00819222744230376,0.008457612319076156,0.00026538487677239646,216,True
CS2_35,degradation_dynamics,Medium,1,Group_DischargeIC,0.00819222744230376,0.008631014490816628,0.0004387870485128686,216,True
CS2_35,degradation_dynamics,Fast,1,Group_CC,0.00911070823054992,0.010017877225126565,0.0009071689945766449,229,True
CS2_35,degradation_dynamics,Fast,1,Group_CV,0.00911070823054992,0.008985945425790325,-0.00012476280475959452,229,True
CS2_35,degradation_dynamics,Fast,1,Group_EnergyEfficiency,0.00911070823054992,0.009579679656656273,0.00046897142610635364,229,True
CS2_35,degradation_dynamics,Fast,1,Group_DischargeIC,0.00911070823054992,0.00895365493115646,-0.00015705329939346042,229,True
CS2_35,cycle_position,Early-life,1,Group_CC,0.012030969699797832,0.012488532537944581,0.0004575628381467498,301,True
CS2_35,cycle_position,Early-life,1,Group_CV,0.012030969699797832,0.012015924093573981,-1.5045606223850622e-05,301,True
CS2_35,cycle_position,Early-life,1,Group_EnergyEfficiency,0.012030969699797832,0.01227958014700691,0.0002486104472090786,301,True
CS2_35,cycle_position,Early-life,1,Group_DischargeIC,0.012030969699797832,0.012020158346710236,-1.081135308759508e-05,301,True
CS2_35,cycle_position,Mid-life,1,Group_CC,0.009744161432258697,0.009834827703645818,9.066627138712077e-05,331,True
CS2_35,cycle_position,Mid-life,1,Group_CV,0.009744161432258697,0.009392628544767124,-0.0003515328874915732,331,True
CS2_35,cycle_position,Mid-life,1,Group_EnergyEfficiency,0.009744161432258697,0.009809987814042152,6.582638178345528e-05,331,True
CS2_35,cycle_position,Mid-life,1,Group_DischargeIC,0.009744161432258697,0.010291952962431869,0.0005477915301731716,331,True
CS2_35,cycle_position,Late-life,1,Group_CC,0.01764604922625758,0.01955023517044296,0.0019041859441853819,218,True
CS2_35,cycle_position,Late-life,1,Group_CV,0.01764604922625758,0.017441706392943176,-0.0002043428333144033,218,True
CS2_35,cycle_position,Late-life,1,Group_EnergyEfficiency,0.01764604922625758,0.01856131580578533,0.0009152665795277501,218,True
CS2_35,cycle_position,Late-life,1,Group_DischargeIC,0.01764604922625758,0.01701214799189753,-0.0006339012343600479,218,True
CS2_36,soh_level,Early,1,Group_CC,0.01486644502224846,0.01579141229254603,0.0009249672702975695,495,True
CS2_36,soh_level,Early,1,Group_CV,0.01486644502224846,0.014914930783846212,4.848576159775103e-05,495,True
CS2_36,soh_level,Early,1,Group_EnergyEfficiency,0.01486644502224846,0.015340154960705564,0.00047370993845710294,495,True
CS2_36,soh_level,Early,1,Group_DischargeIC,0.01486644502224846,0.014832761661069362,-3.368336117909841e-05,495,True
CS2_36,soh_level,Middle,1,Group_CC,0.01722880046207084,0.01860551825132538,0.0013767177892545397,261,True
CS2_36,soh_level,Middle,1,Group_CV,0.01722880046207084,0.017371586591667106,0.00014278612959626666,261,True
CS2_36,soh_level,Middle,1,Group_EnergyEfficiency,0.01722880046207084,0.017670929056441707,0.00044212859437086846,261,True
CS2_36,soh_level,Middle,1,Group_DischargeIC,0.01722880046207084,0.017791168333442964,0.0005623678713721249,261,True
CS2_36,soh_level,Late,1,Group_CC,0.014773818682253333,0.015880646204527924,0.001106827522274591,182,True
CS2_36,soh_level,Late,1,Group_CV,0.014773818682253333,0.01444157726578634,-0.0003322414164669933,182,True
CS2_36,soh_level,Late,1,Group_EnergyEfficiency,0.014773818682253333,0.014910963570088606,0.00013714488783527282,182,True
CS2_36,soh_level,Late,1,Group_DischargeIC,0.014773818682253333,0.014254061587006773,-0.0005197570952465598,182,True
CS2_36,degradation_dynamics,Slow,1,Group_CC,0.017181294627122083,0.018075640755342882,0.0008943461282207993,247,True
CS2_36,degradation_dynamics,Slow,1,Group_CV,0.017181294627122083,0.01704698793159653,-0.00013430669552555452,247,True
CS2_36,degradation_dynamics,Slow,1,Group_EnergyEfficiency,0.017181294627122083,0.01741235013206397,0.00023105550494188776,247,True
CS2_36,degradation_dynamics,Slow,1,Group_DischargeIC,0.017181294627122083,0.017797741054549253,0.0006164464274271697,247,True
CS2_36,degradation_dynamics,Medium,1,Group_CC,0.009406864888788304,0.010127493601603988,0.0007206287128156841,234,True
CS2_36,degradation_dynamics,Medium,1,Group_CV,0.009406864888788304,0.009199459499479227,-0.00020740538930907708,234,True
CS2_36,degradation_dynamics,Medium,1,Group_EnergyEfficiency,0.009406864888788304,0.009597362186570962,0.00019049729778265745,234,True
CS2_36,degradation_dynamics,Medium,1,Group_DischargeIC,0.009406864888788304,0.009549680626416285,0.00014281573762798053,234,True
CS2_36,degradation_dynamics,Fast,1,Group_CC,0.01839108877873378,0.019747428432611017,0.0013563396538772386,353,True
CS2_36,degradation_dynamics,Fast,1,Group_CV,0.01839108877873378,0.01853767422353895,0.00014658544480516955,353,True
CS2_36,degradation_dynamics,Fast,1,Group_EnergyEfficiency,0.01839108877873378,0.018970354216658165,0.0005792654379243867,353,True
CS2_36,degradation_dynamics,Fast,1,Group_DischargeIC,0.01839108877873378,0.01816002169951197,-0.00023106707922180766,353,True
CS2_36,cycle_position,Early-life,1,Group_CC,0.019900701291538883,0.021192117966021343,0.0012914166744824596,301,True
CS2_36,cycle_position,Early-life,1,Group_CV,0.019900701291538883,0.019955860318565173,5.515902702629e-05,301,True
CS2_36,cycle_position,Early-life,1,Group_EnergyEfficiency,0.019900701291538883,0.0205068569261915,0.0006061556346526158,301,True
CS2_36,cycle_position,Early-life,1,Group_DischargeIC,0.019900701291538883,0.019536949457451314,-0.0003637518340875688,301,True
CS2_36,cycle_position,Mid-life,1,Group_CC,0.01203055890756462,0.01229475858057732,0.0002641996730127008,332,True
CS2_36,cycle_position,Mid-life,1,Group_CV,0.01203055890756462,0.01202335065948023,-7.208248084389704e-06,332,True
CS2_36,cycle_position,Mid-life,1,Group_EnergyEfficiency,0.01203055890756462,0.01217171040412721,0.00014115149656259048,332,True
CS2_36,cycle_position,Mid-life,1,Group_DischargeIC,0.01203055890756462,0.01265756307505257,0.000627004167487951,332,True
