battery,feature,horizon,metric,block_length,bootstrap_n_c,circular_estimate,circular_low,circular_high,circular_n,bootstrap_n_n,noncircular_estimate,noncircular_low,noncircular_high,n_effective,contiguous_segments,max_segment_length,bootstrap_type,ci_width_circular,ci_width_noncircular
CS2_35,HF1,1,degradation_pearson,10,1000,-0.0191494374326951,-0.0462905903754271,0.0078500653335006,875,1000,-0.017619875355398773,-0.04524344935379538,0.008363701913825211,875,5,374,non_circular_segmented,0.0541406557089277,0.05360715126762059
CS2_35,HF1,1,degradation_spearman,10,1000,-0.0850963513286839,-0.1820549088805645,0.0058533842073187,875,1000,-0.07804895765169942,-0.1671814355464367,0.022746064363595813,875,5,374,non_circular_segmented,0.1879082930878832,0.1899274999100325
CS2_35,HF1,1,partial_pearson_controlling_SOH,10,1000,0.4514326580269094,0.3178499520220724,0.6144400321128629,875,1000,0.5989865982800912,0.4376082633759974,0.6516143616642234,875,5,374,non_circular_segmented,0.2965900800907905,0.21400609828822598
CS2_35,HF1,1,degradation_pearson,20,1000,-0.0183589744011915,-0.0425378107914857,0.0041984491949905,875,1000,-0.014409944243730937,-0.03747301138426098,0.006222421302947201,875,5,374,non_circular_segmented,0.0467362599864762,0.04369543268720818
CS2_35,HF1,1,degradation_spearman,20,1000,-0.0892016011798222,-0.1923558867332462,0.0314732645682832,875,1000,-0.06503560381653045,-0.16239028859638555,0.03968305827066918,875,5,374,non_circular_segmented,0.2238291513015294,0.20207334686705472
CS2_35,HF1,1,partial_pearson_controlling_SOH,20,1000,0.4547426369994909,0.3107605142607467,0.6318237473885554,875,1000,0.6148025791250333,0.4758890770308713,0.6632121598508096,875,5,374,non_circular_segmented,0.3210632331278087,0.1873230828199383
CS2_35,HF1,1,degradation_pearson,30,1000,-0.0181927629461703,-0.0430023515984741,0.0033849802610672,875,1000,-0.014096019039505768,-0.03132774752420027,0.0060532434909214864,875,5,374,non_circular_segmented,0.046387331859541296,0.03738099101512175
CS2_35,HF1,1,degradation_spearman,30,1000,-0.0835414027548258,-0.1935611839216763,0.049778032092115,875,1000,-0.05436296832487535,-0.17211517155028877,0.090672277639378,875,5,374,non_circular_segmented,0.2433392160137913,0.2627874491896668
CS2_35,HF1,1,partial_pearson_controlling_SOH,30,1000,0.4525468687168039,0.3142516420361527,0.6270687299408262,875,1000,0.6238554752997871,0.4850676335502965,0.670926402217808,875,5,374,non_circular_segmented,0.3128170879046735,0.1858587686675115
CS2_35,HF2,1,degradation_pearson,10,1000,0.0222807201425701,-0.0337763383833186,0.0786600484064727,851,1000,0.017116788923751708,-0.03648664055728618,0.08508251202523198,851,30,111,non_circular_segmented,0.1124363867897913,0.12156915258251816
