battery,horizon_1,horizon_2,metric,value
CS2_36,8,48,kendall_tau,0.4999999999999999
CS2_36,8,64,kendall_tau,0.4999999999999999
CS2_36,12,1,kendall_tau,0.9999999999999998
CS2_36,12,4,kendall_tau,0.9285714285714285
CS2_36,12,8,kendall_tau,0.7142857142857142
CS2_36,12,12,kendall_tau,0.9999999999999998
CS2_36,12,16,kendall_tau,0.9285714285714285
CS2_36,12,24,kendall_tau,0.9285714285714285
CS2_36,12,32,kendall_tau,0.7857142857142856
CS2_36,12,48,kendall_tau,0.7857142857142856
CS2_36,12,64,kendall_tau,0.7857142857142856
CS2_36,16,1,kendall_tau,0.9285714285714285
CS2_36,16,4,kendall_tau,0.8571428571428571
CS2_36,16,8,kendall_tau,0.7857142857142856
CS2_36,16,12,kendall_tau,0.9285714285714285
CS2_36,16,16,kendall_tau,0.9999999999999998
CS2_36,16,24,kendall_tau,0.8571428571428571
CS2_36,16,32,kendall_tau,0.7142857142857142
CS2_36,16,48,kendall_tau,0.7142857142857142
CS2_36,16,64,kendall_tau,0.7142857142857142
CS2_36,24,1,kendall_tau,0.9285714285714285
CS2_36,24,4,kendall_tau,0.8571428571428571
CS2_36,24,8,kendall_tau,0.6428571428571428
CS2_36,24,12,kendall_tau,0.9285714285714285
CS2_36,24,16,kendall_tau,0.8571428571428571
CS2_36,24,24,kendall_tau,0.9999999999999998
CS2_36,24,32,kendall_tau,0.8571428571428571
CS2_36,24,48,kendall_tau,0.8571428571428571
CS2_36,24,64,kendall_tau,0.8571428571428571
CS2_36,32,1,kendall_tau,0.7857142857142856
CS2_36,32,4,kendall_tau,0.8571428571428571
CS2_36,32,8,kendall_tau,0.6428571428571428
CS2_36,32,12,kendall_tau,0.7857142857142856
CS2_36,32,16,kendall_tau,0.7142857142857142
CS2_36,32,24,kendall_tau,0.8571428571428571
CS2_36,32,32,kendall_tau,0.9999999999999998
CS2_36,32,48,kendall_tau,0.8571428571428571
CS2_36,32,64,kendall_tau,0.8571428571428571
CS2_36,48,1,kendall_tau,0.7857142857142856
CS2_36,48,4,kendall_tau,0.7142857142857142
CS2_36,48,8,kendall_tau,0.4999999999999999
CS2_36,48,12,kendall_tau,0.7857142857142856
CS2_36,48,16,kendall_tau,0.7142857142857142
CS2_36,48,24,kendall_tau,0.8571428571428571
CS2_36,48,32,kendall_tau,0.8571428571428571
CS2_36,48,48,kendall_tau,0.9999999999999998
CS2_36,48,64,kendall_tau,0.8571428571428571
CS2_36,64,1,kendall_tau,0.7857142857142856
CS2_36,64,4,kendall_tau,0.7142857142857142
CS2_36,64,8,kendall_tau,0.4999999999999999
CS2_36,64,12,kendall_tau,0.7857142857142856
CS2_36,64,16,kendall_tau,0.7142857142857142
CS2_36,64,24,kendall_tau,0.8571428571428571
CS2_36,64,32,kendall_tau,0.8571428571428571
CS2_36,64,48,kendall_tau,0.8571428571428571
CS2_36,64,64,kendall_tau,0.9999999999999998
CS2_37,1,1,kendall_tau,0.9999999999999998
CS2_37,1,4,kendall_tau,0.8571428571428571
CS2_37,1,8,kendall_tau,0.8571428571428571
CS2_37,1,12,kendall_tau,0.7857142857142856
CS2_37,1,16,kendall_tau,0.5714285714285714
CS2_37,1,24,kendall_tau,0.4999999999999999
CS2_37,1,32,kendall_tau,0.21428571428571427
CS2_37,1,48,kendall_tau,0.07142857142857142
CS2_37,1,64,kendall_tau,0.14285714285714285
CS2_37,4,1,kendall_tau,0.8571428571428571
CS2_37,4,4,kendall_tau,0.9999999999999998
CS2_37,4,8,kendall_tau,0.8571428571428571
CS2_37,4,12,kendall_tau,0.7857142857142856
CS2_37,4,16,kendall_tau,0.5714285714285714
CS2_37,4,24,kendall_tau,0.4999999999999999
CS2_37,4,32,kendall_tau,0.21428571428571427
CS2_37,4,48,kendall_tau,0.07142857142857142
CS2_37,4,64,kendall_tau,0.14285714285714285
