battery,metric,value
CS2_35,spearman_distance_vs_tau,-0.2062294401079924
CS2_36,spearman_distance_vs_tau,-0.7745544295775056
CS2_37,spearman_distance_vs_tau,-0.5291454652230736
CS2_38,spearman_distance_vs_tau,-0.40023653861585334
