battery,feature,horizon,metric,value,n_effective,support_rule,rank
CS2_35,HF3,64,pearson_partial_controlling_SOH,0.0038676656712060857,573,feature_common,8.0
CS2_35,HF4,64,pearson_partial_controlling_SOH,0.17700607955932013,573,feature_common,4.0
CS2_35,HF5,64,pearson_partial_controlling_SOH,-0.2644853888144105,573,feature_common,2.0
CS2_35,HF6,64,pearson_partial_controlling_SOH,-0.3517442617607594,573,feature_common,1.0
CS2_35,HF7,64,pearson_partial_controlling_SOH,-0.06164470475015296,573,feature_common,6.0
CS2_35,HF8,64,pearson_partial_controlling_SOH,0.1737096760410857,573,feature_common,5.0
CS2_36,HF1,1,pearson_partial_controlling_SOH,-0.001245896404639949,607,feature_common,7.0
CS2_36,HF2,1,pearson_partial_controlling_SOH,-0.01730090465857888,607,feature_common,5.0
CS2_36,HF3,1,pearson_partial_controlling_SOH,0.003382547438075564,607,feature_common,6.0
CS2_36,HF4,1,pearson_partial_controlling_SOH,-0.023758855029964752,607,feature_common,3.0
CS2_36,HF5,1,pearson_partial_controlling_SOH,0.026873041021755337,607,feature_common,2.0
CS2_36,HF6,1,pearson_partial_controlling_SOH,0.03462140759207941,607,feature_common,1.0
CS2_36,HF7,1,pearson_partial_controlling_SOH,-0.0011277329192268095,607,feature_common,8.0
CS2_36,HF8,1,pearson_partial_controlling_SOH,-0.022397264120111844,607,feature_common,4.0
CS2_36,HF1,4,pearson_partial_controlling_SOH,-0.021318331080227258,606,feature_common,7.0
CS2_36,HF2,4,pearson_partial_controlling_SOH,0.048453102060743665,606,feature_common,3.0
CS2_36,HF3,4,pearson_partial_controlling_SOH,0.013692858952815221,606,feature_common,8.0
CS2_36,HF4,4,pearson_partial_controlling_SOH,0.026583340573896535,606,feature_common,5.0
CS2_36,HF5,4,pearson_partial_controlling_SOH,0.0502948762778376,606,feature_common,2.0
CS2_36,HF6,4,pearson_partial_controlling_SOH,-0.054026639961168486,606,feature_common,1.0
CS2_36,HF7,4,pearson_partial_controlling_SOH,-0.02247680325732228,606,feature_common,6.0
CS2_36,HF8,4,pearson_partial_controlling_SOH,0.03689581097537258,606,feature_common,4.0
CS2_36,HF1,8,pearson_partial_controlling_SOH,-0.003638392520618735,607,feature_common,8.0
CS2_36,HF2,8,pearson_partial_controlling_SOH,0.05965048347906463,607,feature_common,2.0
CS2_36,HF3,8,pearson_partial_controlling_SOH,-0.004361373470714199,607,feature_common,7.0
CS2_36,HF4,8,pearson_partial_controlling_SOH,-0.02595358968807209,607,feature_common,4.0
CS2_36,HF5,8,pearson_partial_controlling_SOH,-0.023648175051602282,607,feature_common,5.0
CS2_36,HF6,8,pearson_partial_controlling_SOH,-0.07108382330329494,607,feature_common,1.0
CS2_36,HF7,8,pearson_partial_controlling_SOH,-0.004760777181238846,607,feature_common,6.0
CS2_36,HF8,8,pearson_partial_controlling_SOH,0.05093602689904534,607,feature_common,3.0
CS2_36,HF1,12,pearson_partial_controlling_SOH,-0.016432433385040583,606,feature_common,7.0
CS2_36,HF2,12,pearson_partial_controlling_SOH,0.06790948742184216,606,feature_common,2.0
CS2_36,HF3,12,pearson_partial_controlling_SOH,0.01226107005857837,606,feature_common,8.0
CS2_36,HF4,12,pearson_partial_controlling_SOH,-0.029960906487289364,606,feature_common,5.0
CS2_36,HF5,12,pearson_partial_controlling_SOH,-0.06328998469145389,606,feature_common,3.0
CS2_36,HF6,12,pearson_partial_controlling_SOH,-0.1140702406767134,606,feature_common,1.0
CS2_36,HF7,12,pearson_partial_controlling_SOH,-0.0169689569040774,606,feature_common,6.0
CS2_36,HF8,12,pearson_partial_controlling_SOH,0.06073270645392418,606,feature_common,4.0
CS2_36,HF1,16,pearson_partial_controlling_SOH,-0.00805701578922516,607,feature_common,6.0
CS2_36,HF2,16,pearson_partial_controlling_SOH,0.041817266776322956,607,feature_common,2.0
CS2_36,HF3,16,pearson_partial_controlling_SOH,0.005571606610460532,607,feature_common,7.0
CS2_36,HF4,16,pearson_partial_controlling_SOH,0.027617950171209958,607,feature_common,3.0
CS2_36,HF5,16,pearson_partial_controlling_SOH,-0.003740277933935955,607,feature_common,8.0
CS2_36,HF6,16,pearson_partial_controlling_SOH,-0.07912651111754063,607,feature_common,1.0
CS2_36,HF7,16,pearson_partial_controlling_SOH,-0.008693254862947303,607,feature_common,5.0
CS2_36,HF8,16,pearson_partial_controlling_SOH,0.02735466132735246,607,feature_common,4.0
CS2_36,HF1,24,pearson_partial_controlling_SOH,-0.017864256147508216,606,feature_common,7.0
CS2_36,HF2,24,pearson_partial_controlling_SOH,0.1206241527829201,606,feature_common,2.0
CS2_36,HF3,24,pearson_partial_controlling_SOH,0.006136300186044063,606,feature_common,8.0
CS2_36,HF4,24,pearson_partial_controlling_SOH,0.04175574205462164,606,feature_common,5.0
CS2_36,HF5,24,pearson_partial_controlling_SOH,-0.07598456454584612,606,feature_common,4.0
CS2_36,HF6,24,pearson_partial_controlling_SOH,-0.14034107724821912,606,feature_common,1.0
