battery,feature,horizon,metric,value,mae_without,mae_full,model_context,alpha,n_test,rank
CS2_38,Group_CV,8,MAE_minus_full,0.002460654031714457,0.0176089802534241,0.015148326221709644,current_SOH,1.0,1020,2.0
CS2_38,Group_EnergyEfficiency,8,MAE_minus_full,0.001094816724400302,0.016243142946109946,0.015148326221709644,current_SOH,1.0,1020,3.0
CS2_38,Group_DischargeIC,8,MAE_minus_full,8.686209883907066e-05,0.015235188320548715,0.015148326221709644,current_SOH,1.0,1020,4.0
CS2_35,Group_CC,12,MAE_minus_full,0.0021421800855453074,0.020034291749541015,0.017892111663995708,current_SOH,1.0,870,1.0
CS2_35,Group_CV,12,MAE_minus_full,0.0006226863784187416,0.01851479804241445,0.017892111663995708,current_SOH,1.0,870,3.0
CS2_35,Group_EnergyEfficiency,12,MAE_minus_full,0.0005991940684507563,0.018491305732446464,0.017892111663995708,current_SOH,1.0,870,4.0
CS2_35,Group_DischargeIC,12,MAE_minus_full,0.000686434273493422,0.01857854593748913,0.017892111663995708,current_SOH,1.0,870,2.0
CS2_36,Group_CC,12,MAE_minus_full,0.003978908884949575,0.022724594555413032,0.018745685670463457,current_SOH,1.0,961,1.0
CS2_36,Group_CV,12,MAE_minus_full,0.0004543439124959775,0.019200029582959435,0.018745685670463457,current_SOH,1.0,961,4.0
CS2_36,Group_EnergyEfficiency,12,MAE_minus_full,0.0008609889393624177,0.019606674609825875,0.018745685670463457,current_SOH,1.0,961,3.0
CS2_36,Group_DischargeIC,12,MAE_minus_full,0.0010421968704679672,0.019787882540931424,0.018745685670463457,current_SOH,1.0,961,2.0
CS2_37,Group_CC,12,MAE_minus_full,0.0035747187484296943,0.020991565521196444,0.01741684677276675,current_SOH,1.0,1026,1.0
CS2_37,Group_CV,12,MAE_minus_full,0.00019917194369108854,0.017616018716457838,0.01741684677276675,current_SOH,1.0,1026,4.0
CS2_37,Group_EnergyEfficiency,12,MAE_minus_full,0.00043383803961757547,0.017850684812384325,0.01741684677276675,current_SOH,1.0,1026,2.0
CS2_37,Group_DischargeIC,12,MAE_minus_full,0.00038152340853287933,0.01779837018129963,0.01741684677276675,current_SOH,1.0,1026,3.0
CS2_38,Group_CC,12,MAE_minus_full,0.004761380748125023,0.021813829392174383,0.01705244864404936,current_SOH,1.0,1016,1.0
CS2_38,Group_CV,12,MAE_minus_full,0.0019258093701978417,0.018978258014247202,0.01705244864404936,current_SOH,1.0,1016,2.0
CS2_38,Group_EnergyEfficiency,12,MAE_minus_full,0.0016284886740015048,0.018680937318050865,0.01705244864404936,current_SOH,1.0,1016,3.0
